Audio                                                                                                                         ,Transcription                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Langue ,Tempo       ,Mean Mel spectrogram ,Standard deviation Mel spectrogram ,Mean Chroma        ,Audio                                                                                                             ,Transcription                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Langue .1,Tempo       .1,Mean Mel spectrogram .1,Standard deviation Mel spectrogram,Audio,Transcription,Langue,Tempo,Mean Mel spectrogram,Mean Chroma
C:/Users/angej/Desktop/Multilingual/Beware_of_false_experts/2020_03_25_000030-ci-covid19-unesco_msg03_eng.wav                 ,has someone you know sent you advice from an unknown expert against coronavirus watch out the expert may not be an authentic one one way to manipulate information is through the use of a false expert who can add more credibility to the message always verify who that expert is and which organization they represent during the covid-19 outbreak only trust official information sources and credible media Outlets do not share on verified information this is a message from UNESCO                                                                                                                                                                                ,en     ,143.5546875,6.196176,52.891155,0.35503426,                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,       ,            ,                     ,                   ,,,,,,
C:/Users/angej/Desktop/Multilingual/Beware_of_false_experts/2020-03-25-000040-ci-covid19-unesco_msg03_ara.wav                 ,هل ارسل اليك شخص تعرف النصيحه من خبير ضد الفيروسات التاجيه احترس قد لا يكون الخبير ذو مصداقيه تتمثل احدى طرق معالجه المعلومات في استخدام خبير زائف يمكن اضافه المزيد من المصداقيه الى الرساله تحقق دائما من خلال الموارد عبر الانترنت ومحركات البحث من هويه هذا الخبير وتجربته في هذا الموضوع والمنظمه التي يمثلها اثناء التفشي كوفيد 19 المعلومات الرسميه ووسائل الاعلام الموثوق بها لا تشاركي المعلومات التي لم يتم التحقق منها هذه رساله من اليونسكو                                                                                                                                                                                                                      ,ar     ,143.5546875,6.196176052093506,52.89115524291992,0.3550342619419098,                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,       ,            ,                     ,                   ,,,,,,
C:/Users/angej/Desktop/Multilingual/Beware_of_false_experts/2020-03-25-000030-ci-covid19-unesco_msg03_fre.wav                 ,quelqu'un que vous connaissez vous envoie des conseils d'un expert contre le coronavirus attention l'expert n'est peut-être pas authentique une façon de manipuler la formation consiste à recourir à un faux expert pour ajouter plus de crédibilité au message vérifier toujours qui est cette expert et quelle organisation il représente pendant l'épidémie de covid 19 ne fait confiance aux sources d'informations officielles et aux médias crédible ne partagez pas d'informations non vérifiée ceci est un message de l'UNESCO                                                                                                                                      ,fr     ,143.5546875,6.196176052093506,52.89115524291992,0.3550342619419098,                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,       ,            ,                     ,                   ,,,,,,
C:/Users/angej/Desktop/Multilingual/Contact tracing/arabic-4-contacts.wav                                                     ,يستمر كوفيد 19 في انتشار حول العالم يمكنك المساعده في ايقاف عن طريق الدخول في عزله لمده 14 يوما اذا كنت على اتصال وثيق باي شخص مصاب بالفيروس يمكن ان يتم هذا الحجر الصحي في المنزل طالما يمكنك البقاء منفصلا عن افراد الاسره اذا لم يكن الامر كذلك يجب ان تذهب حيث يمكنك البقاء بمفردك وان تحضر الامدادات اليه يتم ارسال هذه الرساله اليك من قبل اليونسكو ومنظمه الصحه العالميه ومحطه الراديو المحليه لديك                                                                                                                                                                                                                                                                   ,ar     ,143.5546875,6.196176052093506,52.89115524291992,0.3550342619419098,                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,       ,            ,                     ,                   ,,,,,,
C:/Users/angej/Desktop/Multilingual/Contact tracing/eng-4-contacts.wav                                                        ,we are not just fighting an epidemic we're fighting and infodemic and infodemic is an excessive amount of information about a problem making it difficult to identify a solution during a health emergency and infodemic can drown out reliable information and allow rumors to spread more easily impeding and effective Public Health response we all play an important role to share trustworthy information and reduce disinformation this message is brought to you by UNESCO w h o and your local radio station                                                                                                                                                        ,en     ,143.5546875,6.196176052093506,52.89115524291992,0.3550342619419098,                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,       ,            ,                     ,                   ,,,,,,
C:/Users/angej/Desktop/Multilingual/Contact tracing/fre-4-contacts.wav                                                        ,nous ne combattons pas seulement une épidémie nous combattons une info déni une info demi est une quantité excessive d'informations sur un problème ce qui rend difficile l'identification d'une solution lors d'une urgence sanitaire une info demi peut noyer des informations fiables et permettre aux rumeurs de se propager plus facilement entre avant une réponse efficace en matière de santé publique nous jouons tous un rôle important pour partager des informations fiables et réduire la désinformation ce message vous est transmis par l'UNESCO l'OMS et votre radio locale                                                                                  ,fr     ,143.5546875,6.196176052093506,52.89115524291992,0.3550342619419098,                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,       ,            ,                     ,                   ,,,,,,
C:/Users/angej/Desktop/Multilingual/COVID_19_vaccine_side_effects_to_expect/03_covid_19_vaccine_side_effects_to_expect_ar.wav ,تتشابه الاثار الجانبيه الشائعه للقاحات 19 مع تلك الموجوده في اللقاحات الاخرى الالم او التورم في موقع الحقن الحمى القشعريره التعب والم الراس في معظم الحالات من المتوقع حدوث هذه الاثار اتصل بمقدم الرعايه صحيه الخاص بك اذا كان هناك احمرار او حساسيه او الم في المكان الذي تلقيت فيه الحقنه التي تزداد بعد 24 ساعه او اذا لم تختفي الاثار الجانبيه بعد بضعه ايام يتم ارسال هذه الرساله اليك من قبل اليونسكو ومنظمه الصحه العالميه ومحطه الراديو المحليه لديك                                                                                                                                                                                                                ,ar     ,143.5546875,6.196176052093506,52.89115524291992,0.3550342619419098,                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,       ,            ,                     ,                   ,,,,,,
C:/Users/angej/Desktop/Multilingual/COVID_19_vaccine_side_effects_to_expect/03_covid_19_vaccine_side_effects_to_expect_en.wav ,common side effects of the covid-19 vaccines are similar to those of other vaccines pain or swelling of the injection site and fever chills tiredness and headache in most cases this is expected contact your care provider if there is redness tenderness or pain where you got the shot that increases after 24 hours or if side effects do not go away after a few days this message is brought to you by UNESCO WHIO and your local radio station                                                                                                                                                                                                                       ,en     ,143.5546875,6.196176052093506,52.89115524291992,0.3550342619419098,                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,       ,            ,                     ,                   ,,,,,,
C:/Users/angej/Desktop/Multilingual/COVID_19_vaccine_side_effects_to_expect/03_covid_19_vaccine_side_effects_to_expect_fr.wav ,les effets secondaires courants des vaccins contre la covid 19 sont similaires à ceux des autres vaccins douleurs ou gonflement au point d'injection fièvre frissons fatigue et maux de tête dans la plupart des cas ces effets sont attendus communiqués à votre fournisseur de soins si vous avez une rougeur une sensibilité ou une douleur à l'endroit où vous avez reçu l'injection qui augmentent après 24 heures ou si les effets secondaires ne disparaissaient pas après quelques jours ce message vous est présenté par l'UNESCO l'OMS est votre station de radio locale                                                                                           ,fr     ,143.5546875,6.196176052093506,52.89115524291992,0.3550342619419098,                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,       ,            ,                     ,                   ,,,,,,
C:/Users/angej/Desktop/Multilingual/Gauge your emotional reaction/2020-03-25-000040-ci-covid19-unesco_msg04_ara.wav           ,عندما تتوقف عند منشور او تعليق حول الفيروس التاجي اثناء تمريره عبر موجز الاخبار فكر فيما يجعلك تشعر به بالغضب او الحزن او الصدمه يمكن نشر تضليل من خلال استخدام محتوى يستهدف المشاعر قبل المشاركه او الرد على هذا المحتوى حاول التفكير في مصدره ومن الذي قد يستهدف منه ومن الذي قد يتاذى منه فكر قبل النقر فكر قبل المشاركه اثناء تفشيك 19 بمصادر المعلومات الرسميه ووسائل الاعلام الموثوق بها لا تشاركي المعلومات التي لم يتم التحقق منها هذه رساله من اليونسكو                                                                                                                                                                                                             ,ar     ,143.5546875,6.196176052093506,52.89115524291992,0.3550342619419098,                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,       ,            ,                     ,                   ,,,,,,
