Audio,Transcription,Langue,Tempo,Mean Mel spectrogram,Standard deviation Mel spectrogram,Mean Chroma
C:/Users/angej/Desktop/Multilingual/Data_augmentation/Data_augmentation/dos1_aug/f2_aug/f1_aug_vitesse_acc_10_pourcent.wav,هل انت بشر الان بما انك تقضي وقتا اطول في المنزل فلماذا لا تعلم طفلك كيفيه اكتشاف المحتوى والاشاعات الخاطئه ابحث عبر الانترنت عن معلومات تم التاكد من انها معلومات خاطئه ومظلله وسالت طفلك الاسئله الاربعه التاليه من كتب او نشر هذا لمن كتب هذا او نشر وهل هو من مصدر موثوق اثناء تفشيك فقط بمصادر المعلومات الرسميه ومسائل الاعلام موثوق بها لا تشاركي المعلومات التي لم يتم التحقق منها هذه رساله من اليونسكو,ar,143.5546875,6.196176,52.891155,0.35503426
C:/Users/angej/Desktop/Multilingual/Data_augmentation/Data_augmentation/dos1_aug/f2_aug/f1_aug_vitesse_acc_30_pourcent.wav,هل انت وهي الان بما انك تقضي وقت اطول في المنزل فلماذا لا تعلم طفلك كيفيه اكتشاف المحتوى والاشاعات خاطئه معلومات تم التاكدله وسالتب لك الاسئله الاربعه التاليه من كتب او نشر هذا او نشر وهل هو من مصدر من فوق اثناء تفشيك 19,ar,143.5546875,6.196176,52.891155,0.35503426
C:/Users/angej/Desktop/Multilingual/Data_augmentation/Data_augmentation/dos1_aug/f2_aug/f1_aug_vitesse_acc_50_pourcent.wav,هل انت ولد الان بما انك سخيف الانترنت اثناء تفشيك 19,ar,143.5546875,6.196176,52.891155,0.35503426
C:/Users/angej/Desktop/Multilingual/Data_augmentation/Data_augmentation/dos1_aug/f2_aug/f2_aug_dec.wav,لم يتم التحقق منها هذه رساله من اليونسكو هل انت والد الان بما انك تقضي وقتا اطول في المنزل فلماذا لا تعلم طفلك كيفيه اكتشاف المحتوى والاشاعات الخاطئه ابحث عبر الانترنت عن معلومات تم التاكد من انها معلومات خاطئه ومضلله وسائل طفلك الاسئله الاربعه التاليه من كتب او نشر هذا لمن كتب هذا او نشر وهل هو من مصدر موثوق اثناء تفشيك في 19,ar,143.5546875,6.196176,52.891155,0.35503426
C:/Users/angej/Desktop/Multilingual/Data_augmentation/Data_augmentation/dos1_aug/f2_aug/f2_aug_noise_injection_7_percent.wav,هل انت وارع الان بما انك تقضي وقتا اطول في المنزل فلماذا لا تعلم طفلك كيفيه اكتشاف المحتوى والاشاعات الخاطئه ابحث عبر الانترنت عن معلومات تم التاكد من انها معلومات خاطئه ومضلله وسائل طفلك الاسئله الاربعه التاليه من كتب او نشر هذا لمن كتب هذا او نشا وهل هو من مصدر موثوق اثناء تفشيك فقط بمصادر المعلومات الرسميه ووسائل الاعلام الموثوق بها لا تشاركي المعلومات التي لم يتم التحقق منها هذه رساله من اليونسكو,ar,143.5546875,6.196176,52.891155,0.35503426
C:/Users/angej/Desktop/Multilingual/Data_augmentation/Data_augmentation/dos1_aug/f2_aug/f2_aug_sup_noise.wav,هل انت والد الان بما انك تقضي وقتا اطول في المنزل فلماذا لا تعلم طفلك كيفيه اكتشاف المحتوى والاشاعات الخاطئه ابحث عبر الانترنت عن معلومات تم التاكد من انها معلومات خاطئه ومضلله وسائل طفلك الاسئله الاربعه التاليه من كتب او نشر هذا لمن كتب هذا او نشير وهل هو من مصدر موثوق اثناء تفشي كوفيد 19,ar,143.5546875,6.196176,52.891155,0.35503426
C:/Users/angej/Desktop/Multilingual/Data_augmentation/Data_augmentation/dos1_aug/f2_aug/f2_aug_vitesse_dec_10_pourcent.wav,هل انت ولد الان بما انك شخصي وقت اطول في المنزل فلماذا لا تعلم طفلك كيفيه اكتشاف المحتوى والاشاعات خاطئه ابحث عن الانترنت عن معلومات تم تاكد من انها معلومات خاطئه ومغلله وسال طفلك الاسئله الاربعه التاليه من كتب او نشر هذا لمن كتب هذا او نشر وهل هو من مصدر مرفوع اثناء تفشيك في 19 اغلقت بمصادر المعلومات الرسميه ووسائل الاعلام الموثوق بها لا تشارك المعلومات التي لم يتم التحقق منها هذه رساله من اليونسكو,ar,143.5546875,6.196176,52.891155,0.35503426
C:/Users/angej/Desktop/Multilingual/Data_augmentation/Data_augmentation/dos1_aug/f2_aug/f2_aug_vitesse_dec_30_pourcent.wav,هل انت واجد الان بما انك تقضي وقت اطول في المنزل فلماذا لا تعلم طفلك كيفيه اكتشاف المحتوى والاشاعات خاطئه ابحث عن الانترنت عن معلومات تم تاكد من انا معلومات خاطئه ومظلله وسالت طفلك الاسئله الاربعه التاليه من كتب او نشر هذا لمن كتب هذا او المشاعر وهل هو من مصدر مرفوع اثناء تفشيك ب 19 المعلومات الرسميه ووسائل الاعلام الموثوق بها لا تشارك المعلومات التي لم يتم التحقق منها هذه رساله من اليونسكو,ar,143.5546875,6.196176,52.891155,0.35503426
C:/Users/angej/Desktop/Multilingual/Data_augmentation/Data_augmentation/dos1_aug/f2_aug/f2_aug_vitesse_dec_50_pourcent.wav,هل انت ولد الان بما انك تقضي وقتا اطول في المنزل فلماذا لا تعلم طفلك كيفيه اكتشاف المحتوى والاشاعات الخاطئه ابحث عبر الانترنت على المعلومات تم تاكل من انا معلومات خاطئه ومضلله وسال طفلك الاسئله الاربعه التاليه من كتب او نشر هذا لمن كتب هذا او نشا ولو من مصدر 19 فقط بمصاري للمعلومات الرسميه ووسائل الاعلام موثوق بها لا تشارك المعلومات التي لم يتم التحقق منها هذه رساله من اليونسكو,ar,143.5546875,6.196176,52.891155,0.35503426
C:/Users/angej/Desktop/Multilingual/Data_augmentation/Data_augmentation/dos2_aug/f2_aug/f2_aug_cut_part.wav,هذا الامر من المهم مشاركه المعلومات التي تاتي من مصادر موثوقه الحكومات والسلطات الصحيه مثل منظمه الصحه العالميه او وزاره الصحه او السلطات الصحيه المحليه اثناء تفشي كوفيد 19 بمصادر المعلومات الرسميه ووسائل الاعلام الموثوق بها لا تشارك,ar,143.5546875,6.196176052093506,52.89115524291992,0.3550342619419098
